"label";"weight";"id"
"& company";1.79166666666667;"1"
"abertura";0.333333333333333;"2"
"abordagem amplo";1.67300366300366;"3"
"abordagem evolucionário";7.28202764976959;"4"
"abordagem evolucionista";1.64583333333333;"5"
"abordagem neo-schumpeteriano";1.63888888888889;"6"
"abordagem sistêmico";1.90909090909091;"7"
"abordagen pós-keynesiano";1.96551724137931;"8"
"absorção";0.173611111111111;"9"
"acadêmico";2.04545454545455;"10"
"ação";2.88452380952381;"11"
"ação conjunto";1.28387096774194;"12"
"ação humano";1.4;"13"
"ação individual";1.375;"14"
"acesso";0.663768115942029;"15"
"acordo";1.13961785341096;"16"
"acordo ambiental";1.65954346770277;"17"
"acordo internacional";1.6790450928382;"18"
"activities";0.6;"19"
"acumulação";0.866666666666667;"20"
"acumulação tecnológico";1.83908045977011;"21"
"adaptação";0.888888888888889;"22"
"adaptado produto";1.32142857142857;"23"
"adequação";0.363636363636364;"24"
"adequado";2.60714285714286;"25"
"adição";1.33333333333333;"26"
"administração";0.2;"27"
"adoção";0.0833333333333333;"28"
"adotante";0.421052631578947;"29"
"aeroespacial";0.333333333333333;"30"
"agência";0.428571428571429;"31"
"agência independente";1.75;"32"
"agenda";0.833333333333333;"33"
"agenda político";1.02941176470588;"34"
"agente econômico";7.19066578239055;"35"
"agente externo";1.55239014968614;"36"
"agente financeiro";1.73939393939394;"37"
"agente independente";1.15;"38"
"agente local";1.46592398427261;"39"
"agente produtivo";1.29166666666667;"40"
"aglomeração";0.181818181818182;"41"
"aglomeração industrial";1.45841392649903;"42"
"ajustamento estrutural";1.66666666666667;"43"
"ajuste";0.333333333333333;"44"
"alcance";0.333333333333333;"45"
"aleatoriedade";0.75;"46"
"alemão";1;"47"
"algoritmo genético";2;"48"
"almu";1;"49"
"alocação";0.333333333333333;"50"
"alteração";0.2;"51"
"alternativa";0.333333333333333;"52"
"alto";2.52543859649123;"53"
"alto custo";1.10741138560687;"54"
"alto grau";1.14210526315789;"55"
"alto incerteza";1.14212454212454;"56"
"alto interatividade";1.6;"57"
"alto nível";3.3032634032634;"58"
"alto potencial";3.39365079365079;"59"
"alto tecnologia";1.70454545454545;"60"
"ambientais";1.16666666666667;"61"
"ambiental";1.6112676056338;"62"
"ambiente complexo";1.19230769230769;"63"
"ambiente concorrencial";2.31730769230769;"64"
"ambiente democrático";1.47619047619048;"65"
"ambiente econômico";8.21741741741742;"66"
"ambiente externo";4.72222222222222;"67"
"ambiente institucional";1.07936507936508;"68"
"ambiente propício";2;"69"
"ambiente social";1.62058371735791;"70"
"âmbito";1.15;"71"
"âmbito local";1.82142857142857;"72"
"âmbito nacional";1.80185185185185;"73"
"ameaça";0.2;"74"
"ameaça ambiental";2.2112676056338;"75"
"américa";0.333333333333333;"76"
"américa latino";2;"77"
"amigo";1;"78"
"ampliação";0.166666666666667;"79"
"amplo";4.6642735042735;"80"
"amplo conjunto";2.7975;"81"
"amplo gama";3.13888888888889;"82"
"amplo literatura";0.941818181818182;"83"
"análise econômico";1.30522875816993;"84"
"análise empírico";1.8;"85"
"análise evolucionário";1.78571428571429;"86"
"análise recente";0.966666666666667;"87"
"análise setorial";1.92857142857143;"88"
"análises";0.5;"89"
"and";5.34065934065934;"90"
"anjo";0.333333333333333;"91"
"ano";2.66577922077922;"92"
"antecedente histórico";1.83333333333333;"93"
"anterior";0.714285714285714;"94"
"antigo";1.19047619047619;"95"
"aperfeiçoamento";0.25;"96"
"aplicação";2.33846226237531;"97"
"aplicação consciente";1.71428571428571;"98"
"aplicação industrial";1.34680134680135;"99"
"aplicação sistemática";1.71428571428571;"100"
"apoio";2.16071428571429;"101"
"apoio direto";1.28571428571429;"102"
"apoio governamental";1.5;"103"
"apoio público";1.5;"104"
"approach";0.7;"105"
"aprendizado";3.40889440113395;"106"
"aprendizado coletivo";1.75294117647059;"107"
"aprendizado externo";1.04467871485944;"108"
"aprendizado individual";1.43333333333333;"109"
"aprendizado interativo";5.62556106780061;"110"
"aprendizado interno";1.19418851878101;"111"
"aprendizado tecnológico";1.28579893343867;"112"
"aprendizagem";1.44891774891775;"113"
"aprendizagem interativo";1.27272727272727;"114"
"aprendizagem organizacional";1.64492753623188;"115"
"aprendizar";0.722857142857143;"116"
"apresentação";0.476190476190476;"117"
"aprimoramento";0.2;"118"
"aprisionamento";0.333333333333333;"119"
"apropriação";0.366666666666667;"120"
"apud aroceno";1.66666666666667;"121"
"aquecimento global";2.22222222222222;"122"
"àquela";0.5;"123"
"aquisição";0.95;"124"
"arar";2;"125"
"arbitrário";0.25;"126"
"arcabouço";0.666666666666667;"127"
"arcabouço conceitual";1.83333333333333;"128"
"arcabouço institucional";1.93333333333333;"129"
"arcabouço teórico";1.66666666666667;"130"
"are";0.666666666666667;"131"
"área";2.80196667132151;"132"
"área científico";1.83333333333333;"133"
"área tecnológico";3.07511586289175;"134"
"argumento";1.725;"135"
"arquitetura";0.5;"136"
"arranjo";1.8125;"137"
"arranjo contratual";1.6875;"138"
"arranjo cooperativo";1.84821428571429;"139"
"arranjo institucional";8.50325929938606;"140"
"arranjo interorganizacional";1.8125;"141"
"articulações cooperativa";1.75;"142"
"artigo";1.20238095238095;"143"
"aspecto central";2.18181818181818;"144"
"aspecto cognitivo";2;"145"
"aspecto relevante";1.41666666666667;"146"
"aspecto social";1.3015873015873;"147"
"assimetria";1.125;"148"
"assimilação";0.142857142857143;"149"
"assistência técnico";3.90151515151515;"150"
"associação positivo";1.75;"151"
"atenção";2.33333333333333;"152"
"atendimento";0.333333333333333;"153"
"atividade científico";3.77679859822717;"154"
"atividade consultivo";1.40740740740741;"155"
"atividade econômico";11.3507203300262;"156"
"atividade humano";2.05555555555556;"157"
"atividade industrial";1.64285714285714;"158"
"atividade inovador";1.25438596491228;"159"
"atividade interdependente";1.51219512195122;"160"
"atividade interno";1.45362473347548;"161"
"atividade inventivo";3.41341991341991;"162"
"atividade manufatureiro";1.40625;"163"
"atividade produtivo";9.3300061050061;"164"
"atividade tecnológico";3.02589375208821;"165"
"ativo";3.63805683563748;"166"
"ativo complementar";3.46500721500722;"167"
"ativo imaterial";1.32258064516129;"168"
"ativo intangível";1.32258064516129;"169"
"atmosfera industrial";2.27659574468085;"170"
"atômico";0.5;"171"
"ator";2.56266233766234;"172"
"ator econômico";1.50649350649351;"173"
"ator externo";1.11278195488722;"174"
"ator público";1.625;"175"
"ator relevante";1.6;"176"
"atore externo";1.43421052631579;"177"
"atrativo";0.333333333333333;"178"
"atuação";1.25;"179"
"atual";1;"180"
"atual contexto";1.97727272727273;"181"
"aumento";1.55515873015873;"182"
"ausência";1.04761904761905;"183"
"autonomia";1.14285714285714;"184"
"autônomo";0.333333333333333;"185"
"avaliação";1.74557823129252;"186"
"avaliação subjetivo";1.3;"187"
"avanço";3.81972402597403;"188"
"avanço acadêmico";2;"189"
"avanço científico";1.69323979591837;"190"
"avanço industrial";2.16279069767442;"191"
"avanço organizacional";1.25714285714286;"192"
"avanço tecnológico";3.10195463320463;"193"
"avanços";1.33108108108108;"194"
"baixo";2.78571428571429;"195"
"baixo taxa";2;"196"
"balança comercial";3.175;"197"
"balanço";0.538461538461538;"198"
"balizamento";0.5;"199"
"banco";1.43809523809524;"200"
"banco comercial";1.23809523809524;"201"
"banco mundial";2.33333333333333;"202"
"barato";0.333333333333333;"203"
"barganha";0.333333333333333;"204"
"base conceitual";2;"205"
"base tecnológico";2.11111111111111;"206"
"básico";0.333333333333333;"207"
"bell lab";2.66666666666667;"208"
"bell laboratorie";2.33333333333333;"209"
"bem";3.32539682539683;"210"
"bem coletivo";1.7;"211"
"bem intermediário";1.83333333333333;"212"
"bem material";1.7;"213"
"bem público";1.58333333333333;"214"
"bem-estar social";2;"215"
"beneficiária";0.125;"216"
"beneficiário";0.307692307692308;"217"
"benefício";1.20833333333333;"218"
"benéfico";0.4;"219"
"bens";0.333333333333333;"220"
"bianchi";0.25;"221"
"blundell";0.142857142857143;"222"
"bohr";0.333333333333333;"223"
"bom";3.2031746031746;"224"
"bom compreensão";1.1875;"225"
"bom desempenho";1.4;"226"
"bom entendimento";1.04761904761905;"227"
"bom funcionamento";1.74285714285714;"228"
"bom posição";1.55555555555556;"229"
"bom qualidade";1.75;"230"
"bom tecnologia";1.30065359477124;"231"
"boschmo";0.333333333333333;"232"
"brasil";0.222222222222222;"233"
"bric";0.333333333333333;"234"
"busca";0.916666666666667;"235"
"busca tecnológico";2.13992537313433;"236"
"business cycles";2.25;"237"
"c d";3.4;"238"
"c&t";0.245454545454545;"239"
"c&t.";0.25;"240"
"c&t&i";0.08;"241"
"cada";1.35833333333333;"242"
"cadeia";1.51666666666667;"243"
"cadeia global";4.89490392648287;"244"
"cadeia produtivo";1.66666666666667;"245"
"caixa";0.166666666666667;"246"
"câmbio";0.2;"247"
"caminho";1.41666666666667;"248"
"caminho natural";2;"249"
"caminho único";2;"250"
"campo";2.125;"251"
"campo científico";1.5;"252"
"campo técnico";1.81818181818182;"253"
"campo tecnológico";1.57692307692308;"254"
"canal";2.2747311827957;"255"
"canal alternativo";1.6;"256"
"canal específico";1.92307692307692;"257"
"canberra";0.166666666666667;"258"
"capabilities";0.333333333333333;"259"
"capacidade absortivo";1.94712643678161;"260"
"capacidade dinâmico";4.88740421455939;"261"
"capacidade inovador";3.10242946708464;"262"
"capacidade inovativo";5.72330424211543;"263"
"capacidade interno";1.63571428571429;"264"
"capacidade local";1.41770186335404;"265"
"capacidade organizacional";3.37252326217843;"266"
"capacidade produtivo";2.15734265734266;"267"
"capacidade tecnológico";7.57230010191429;"268"
"capacitação";1.98645021645022;"269"
"capacitação inovativo";2.04347826086957;"270"
"capacitação interno";3.12;"271"
"capacitação produtivo";1.79166666666667;"272"
"capacitação próprio";2.34285714285714;"273"
"capacitação tecnológico";1.5427807486631;"274"
"capaz";5.74935064935065;"275"
"capital";3.80493886743887;"276"
"capital fixo";2.54065315315315;"277"
"capital humano";1.41666666666667;"278"
"capital kit";1.4375;"279"
"capitalismo";0.319548872180451;"280"
"capitalismo global";1.43650793650794;"281"
"capitalista";0.6;"282"
"capítulo histórico";1.06349206349206;"283"
"capítulo sistêmico";1.83888888888889;"284"
"característica central";1.5;"285"
"característica específico";2.6948717948718;"286"
"característica importante";1.02564102564103;"287"
"característica principal";1.875;"288"
"característica setorial";1.69230769230769;"289"
"característica socioeconômico";1.54285714285714;"290"
"caracterização";0.4;"291"
"caracterização geral";1.025;"292"
"caráter";2.63095238095238;"293"
"caráter dual";2.08333333333333;"294"
"caráter imaterial";1.46428571428571;"295"
"caráter público";1.69285714285714;"296"
"caráter tácito";1.6;"297"
"carbono";0.333333333333333;"298"
"carreira científico";1.9;"299"
"carvalho";1;"300"
"cassiolato";0.0384615384615385;"301"
"castellacci";0.333333333333333;"302"
"catch up";3.95652173913043;"303"
"catch-up tecnológico";2.0327868852459;"304"
"categoria";0.825;"305"
"cenário";0.333333333333333;"306"
"centro";2.11904761904762;"307"
"centro comercial";1.5;"308"
"cgv";0.0344827586206897;"309"
"cgv.";0.2;"310"
"chamado economia";1.16216216216216;"311"
"chandler junior";1.66666666666667;"312"
"change";0.4;"313"
"chri freeman";1.18181818181818;"314"
"ciclo";0.522792022792023;"315"
"ciclo econômico";1.40740740740741;"316"
"ciclo tecnológico";1.1290832455216;"317"
"ciência ambiental";1.37793427230047;"318"
"ciência básica";1.40302853814793;"319"
"ciência econômico";1.72530641672675;"320"
"ciência médico";1.05714285714286;"321"
"ciência moderno";1.10891089108911;"322"
"ciência natural";1.44444444444444;"323"
"ciência puro";1.45535714285714;"324"
"ciência social";3.70278500739027;"325"
"ciências";0.333333333333333;"326"
"científico";4.99829931972789;"327"
"cientista";0.790598290598291;"328"
"cientista acadêmico";1.69909502262443;"329"
"cientista industrial";1.42022792022792;"330"
"cientista social";1.13782051282051;"331"
"circulação";0.166666666666667;"332"
"circulação monetário";2.14285714285714;"333"
"circunstância";0.5;"334"
"citação";0.142857142857143;"335"
"civil";0.6;"336"
"claro";1.16666666666667;"337"
"classificação";1.17592592592593;"338"
"classificação internacional";1.98148148148148;"339"
"classificação nacional";1.60072267389341;"340"
"cliente";0.472727272727273;"341"
"clima global";2.2;"342"
"clusters industrial";2.02659574468085;"343"
"cobertura";0.571428571428571;"344"
"codificação";0.2;"345"
"código";0.666666666666667;"346"
"coeficiente";0.833333333333333;"347"
"cognitivo";1;"348"
"coisa";0.533333333333333;"349"
"colaboração";0.168478260869565;"350"
"colaboração estratégico";2;"351"
"coleta";0.416666666666667;"352"
"coletivo";1;"353"
"college";0.5;"354"
"collinson";0.333333333333333;"355"
"combinação";1.7;"356"
"combustão";0.25;"357"
"comercial";1;"358"
"comercialização";0.833333333333333;"359"
"comércio";1.66060606060606;"360"
"comércio exterior";3.61616161616162;"361"
"comércio internacional";3.70989202368513;"362"
"comissão";0.25;"363"
"companhia";0.5;"364"
