dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,regime,assuntoGeral,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,local,arquivamento,linksOrigem,tema,observacao,linkLegislacao.url,linkLegislacao.rotulo
Remissivo,PROJETO DE LEI,PL,1021,1980,DEPUTADO JOÃO PINTO RIBEIRO                PMDB,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DOS MORADORES DA CIDADE NOVA,
COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1980-12-10,000149247,PL. 1021 1980 - PROJETO DE LEI,1685,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7979 1981 - LEI ORDINÁRIA,20120202,0913,rosanacf,1980-12-05,"list(passo = 1, data = ""1980-12-05"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 13 3 1981\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 21 5 1981\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 4 6 1981\nREDAÇÃO FINAL\nAPROVAÇÃO: 8 6 1981\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NARCISO MICHELLI\nPUBLICAÇÃO: 4 4 1981\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 2 6 1981\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. FÚLVIO FONTOURA\nPUBLICAÇÃO: 11 6 1981\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 7 1981"")",list(),list(),N,"list(id = 1685, nome = ""DEPUTADO JOÃO PINTO RIBEIRO"", partido = ""PMDB"")",NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/7979/1981,LEI 7979 1981 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,1020,1980,DEPUTADO JOÃO PINTO RIBEIRO                PMDB,"DECLARA DE UTILIDADE PÚBLICA A AÇÃO PAROQUIAL CIDADE NOVA ""LUCINOVA"",
COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1980-12-10,000149248,PL. 1020 1980 - PROJETO DE LEI,1685,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7970 1981 - LEI ORDINÁRIA,20120202,0914,rosanacf,1980-12-05,"list(passo = 1, data = ""1980-12-05"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 13 3 1981\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 21 5 1981\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 4 6 1981\nREDAÇÃO FINAL\nAPROVAÇÃO: 8 6 1981\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NARCISO MICHELLI\nPUBLICAÇÃO: 4 4 1981\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 2 6 1981\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. FÚLVIO FONTOURA\nPUBLICAÇÃO: 11 6 1981\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 7 1981"")",list(),list(),N,"list(id = 1685, nome = ""DEPUTADO JOÃO PINTO RIBEIRO"", partido = ""PMDB"")",NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/7970/1981,LEI 7970 1981 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,1019,1980,DEPUTADO GERALDO DA COSTA PEREIRA          PMDB,"DECLARA DE UTILIDADE PÚBLICA O GRUPO ESCOTEIRO FREI LEÃO RODRIGUES, COM
SEDE EM DIVINÓPOLIS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, DIVINÓPOLIS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1980-12-10,000149249,PL. 1019 1980 - PROJETO DE LEI,2036,NA,UTILIDADE PÚBLICA,NA,20120202,0915,rosanacf,1980-12-05,"list(passo = 1, data = ""1980-12-05"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 12 3 1981\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 2036, nome = ""DEPUTADO GERALDO DA COSTA PEREIRA"", partido = ""PMDB"")",ARQUIVO,19830131,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1018,1980,DEPUTADO CÍCERO DUMONT                     ARENA,"DECLARA DE UTILIDADE PÚBLICA O SINDICATO DOS TRABALHADORES RURAIS DE
ESMERALDAS, COM SEDE EM ESMERALDAS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ESMERALDAS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1980-12-05,000149250,PL. 1018 1980 - PROJETO DE LEI,351,NA,UTILIDADE PÚBLICA,NA,20120202,0915,rosanacf,1980-12-03,"list(passo = 1, data = ""1980-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 12 3 1981\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 351, nome = ""DEPUTADO CÍCERO DUMONT"", partido = ""ARENA"")",ARQUIVO,19830131,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1017,1980,DEPUTADO OTACÍLIO MIRANDA                  PDT,"DECLARA DE UTILIDADE PÚBLICA A ATAMG - ASSOCIAÇÃO DE TÉCNICOS AGRÍCOLAS
DE NÍVEL MÉDIO DE MINAS GERAIS, COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1980-12-05,000149251,PL. 1017 1980 - PROJETO DE LEI,2048,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7971 1981 - LEI ORDINÁRIA,20120202,0916,rosanacf,1980-12-03,"list(passo = 1, data = ""1980-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 12 3 1981\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 21 5 1981\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 4 6 1981\nREDAÇÃO FINAL\nAPROVAÇÃO: 8 6 1981\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MÁRIO PACHECO\nPUBLICAÇÃO: 30 4 1981\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. NARCISO MICHELLI\nPUBLICAÇÃO: 2 6 1981\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. FÚLVIO FONTOURA\nPUBLICAÇÃO: 11 6 1981\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 7 1981"")",list(),list(),N,"list(id = 2048, nome = ""DEPUTADO OTACÍLIO MIRANDA"", partido = ""PDT"")",NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/7971/1981,LEI 7971 1981 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,1016,1980,DEPUTADO LUIZ OTÁVIO VALADARES             PMDB,"DÁ A DENOMINAÇÃO DE ENGENHEIRO MANOEL ELIAS DE AGUIAR À VIA EXPRESSA
NORTE-SUL.","DENOMINAÇÃO, VIA EXPRESSA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1980-12-05,000149252,PL. 1016 1980 - PROJETO DE LEI,2043,NA,PRÓPRIO PÚBLICO,NA,20120508,1505,rosanacf,1980-12-03,"list(passo = 1, data = ""1980-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 11 3 1981\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MENDES BARROS\nPUBLICAÇÃO: 8 5 1981\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 2043, nome = ""DEPUTADO LUIZ OTÁVIO VALADARES"", partido = ""PMDB"")",ARQUIVO,19830131,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1015,1980,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A ALIENAR IMÓVEL (NA CIDADE DO RIO DE
JANEIRO, NO ESTADO DO RIO DE JANEIRO).",NA,REJEITADO,RJTDO,PROPOSIÇÕES REJEITADAS,MRJTD,1980-12-05,000149253,PL. 1015 1980 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,NA,19980101,NA,Carga,1980-12-03,"list(passo = 1, data = ""1980-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 12 1980\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. NUNES COELHO\nPUBLICAÇÃO: 15 8 1981\nREJEITADO, NOS TERMOS DO ART. 190 DO RI."")",list(),list(),N,NULL,NA,NA,"list(descricao = ""MSG 372 1980"")",NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1014,1980,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A PERMUTAR IMÓVEL COM O MUNICÍPIO DE
JOÃO MONLEVADE.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1980-12-05,000149254,PL. 1014 1980 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 8017 1981 - LEI ORDINÁRIA,19980101,NA,Carga,1980-12-03,"list(passo = 1, data = ""1980-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 12 1980\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 17 6 1981\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 1 7 1981\nREDAÇÃO FINAL\nAPROVAÇÃO: 2 7 1981\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 2 6 1981\nECONOMIA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 2 6 1981\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 2 6 1981\nFINANÇAS\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. CARLOS LEMOS\nPUBLICAÇÃO: 27 6 1981\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 7 7 1981 E 14 7 1981\nSANCIONADO\nPUBLICAÇÃO DA LEI: 23 7 1981"")",list(),list(),N,NULL,NA,NA,"list(descricao = ""MSG 371 1980"")",NA,NA,/legislacao/mineira/LEI/8017/1981,LEI 8017 1981 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,1013,1980,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A PERMUTAR IMÓVEL SITUADO NO
MUNICÍPIO DE CORINTO.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1980-12-05,000149255,PL. 1013 1980 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 8021 1981 - LEI ORDINÁRIA,19980101,NA,Carga,1980-12-03,"list(passo = 1, data = ""1980-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 12 1980\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 17 6 1981\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 1 7 1981\nREDAÇÃO FINAL\nAPROVAÇÃO: 2 7 1981\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. CÍCERO DUMONT\nPUBLICAÇÃO: 19 5 1981\nECONOMIA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NUNES COELHO\nPUBLICAÇÃO: 19 5 1981\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. LUIZ OTÁVIO VALADARES\nPUBLICAÇÃO: 19 5 1981\nFINANÇAS\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 27 6 1981\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 7 7 1981\nSANCIONADO\nPUBLICAÇÃO DA LEI: 24 7 1981"")",list(),list(),N,NULL,NA,NA,"list(descricao = ""MSG 370 1980"")",NA,NA,/legislacao/mineira/LEI/8021/1981,LEI 8021 1981 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,1012,1980,GOVERNADOR DO ESTADO,"ALTERA A LEI 6762, DE 26 12 1975, QUE CONSOLIDA A
LEGISLAÇÃO TRIBUTÁRIA DO ESTADO DE MINAS GERAIS.
(ALTERA ALÍQUOTAS REFERENTES AO ITBI - IMPOSTO DE TRANSMISSÃO
DE BENS IMÓVEIS E DE DIREITOS A ELES RELATIVOS).",NA,RETIRADO DE TRAMITAÇÃO,RETRA,OUTRAS SITUAÇÕES,MOUTR,1980-12-03,000149259,PL. 1012 1980 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,NA,19980101,NA,Carga,1980-12-02,"list(passo = 1, data = ""1980-12-02"", local = ""PLENÁRIO"", historico = ""RETIRADO PELO AUTOR, ATRAVÉS DO OFÍCIO 588."")",list(),list(),N,NULL,NA,NA,"list(descricao = ""MSG 369 1980"")",NA,NA,NA,NA
