UT,noun_phrase,n
WOS:000209883800008,architecture,1
WOS:000209883800008,building block,1
WOS:000209883800008,charge noise,1
WOS:000209883800008,conceivable multi-qubit gate operation,1
WOS:000209883800008,control protocol,1
WOS:000209883800008,date,1
WOS:000209883800008,decoherence,1
WOS:000209883800008,distant qubit,1
WOS:000209883800008,error,1
WOS:000209883800008,experiment,1
WOS:000209883800008,gate,1
WOS:000209883800008,gate fidelity,1
WOS:000209883800008,hyperfine interaction,1
WOS:000209883800008,immediate experimental realisation,1
WOS:000209883800008,important step,1
WOS:000209883800008,laboratory,1
WOS:000209883800008,noise,1
WOS:000209883800008,nuclear spins,1
WOS:000209883800008,present control protocol,1
WOS:000209883800008,promise,1
WOS:000209883800008,protocol,1
WOS:000209883800008,qubit,1
WOS:000209883800008,qubit gate,1
WOS:000209883800008,qubit gate fidelity,1
WOS:000209883800008,range coupling,1
WOS:000209883800008,result,1
WOS:000209883800008,scalable quantum,1
WOS:000209883800008,scalable quantum computation,1
WOS:000209883800008,semiconductor platform,1
WOS:000209883800008,semiconductor spin qubit,1
WOS:000209883800008,sequence,1
WOS:000209883800008,simple modification,1
WOS:000209883800008,spin qubit,2
WOS:000209883800008,type,1
WOS:000216434100001,circuit,2
WOS:000216434100001,circuit density,1
WOS:000216434100001,circuit inductor,1
WOS:000216434100001,circuit structure,1
WOS:000216434100001,commercial software,1
WOS:000216434100001,d inductance extractor,1
WOS:000216434100001,degrees bend,1
WOS:000216434100001,dielectric thickness,1
WOS:000216434100001,digital circuit,1
WOS:000216434100001,excellent run,1
WOS:000216434100001,experimental result,1
WOS:000216434100001,film inductor,1
WOS:000216434100001,film thickness,1
WOS:000216434100001,freeware,1
WOS:000216434100001,further miniaturization,1
WOS:000216434100001,good agreement,1
WOS:000216434100001,inductance,3
WOS:000216434100001,inductance uniformity,1
WOS:000216434100001,inductor,1
WOS:000216434100001,inductor linewidth,1
WOS:000216434100001,interlayer via,1
WOS:000216434100001,josephson junction,1
WOS:000216434100001,linewidth,2
WOS:000216434100001,linewidth reduction,1
WOS:000216434100001,magnetic field penetration depth,1
WOS:000216434100001,meander,1
WOS:000216434100001,method,1
WOS:000216434100001,microstrip,1
WOS:000216434100001,microstrip line inductor,1
WOS:000216434100001,mit lincoln laboratory,1
WOS:000216434100001,mit will superconductor electronics fabrication process,1
WOS:000216434100001,mm wafer,1
WOS:000216434100001,niobium layer,1
WOS:000216434100001,niobium layer inductance,1
WOS:000216434100001,numeric inductance extraction,1
WOS:000216434100001,parameter spread,1
WOS:000216434100001,process,1
WOS:000216434100001,run reproducibility,1
WOS:000216434100001,scale,1
WOS:000216434100001,sensitivity,1
WOS:000216434100001,stripline,1
WOS:000216434100001,structure,1
