year_published_scielo,subject,language,prop
1998,Agricultural Sciences,en,0.0178979436405179
1998,Biological Sciences,en,0.3175932977913176
1998,Engineering,en,0.06854531607006854
1998,Exact and Earth Sciences,en,0.020563594821020565
1998,Health Sciences,en,0.2715156130997715
1998,"Linguistics, Letters and Arts",en,0.0015232292460015233
1999,Agricultural Sciences,en,0.04550827423167849
1999,Applied Social Sciences,en,3.940110323089047e-4
1999,Biological Sciences,en,0.21355397951142632
1999,Engineering,en,0.013002364066193853
1999,Exact and Earth Sciences,en,0.06067769897557131
1999,Health Sciences,en,0.15189125295508274
2000,Agricultural Sciences,en,0.028984057100927225
2000,Applied Social Sciences,en,2.0012007204322593e-4
2000,Biological Sciences,en,0.10793142552197986
2000,Engineering,en,0.03128543792942432
2000,Exact and Earth Sciences,en,0.041691681675672075
2000,Health Sciences,en,0.17036888799946637
2000,Human Sciences,en,0.002968447735307851
2000,"Linguistics, Letters and Arts",en,0.0010006003602161296
2001,Agricultural Sciences,en,0.024222209552045914
2001,Biological Sciences,en,0.08819392971853203
2001,Engineering,en,0.023224433167987533
2001,Exact and Earth Sciences,en,0.04058574225060342
2001,Health Sciences,en,0.12365775319763575
2001,Human Sciences,en,0.0038960792139422617
2001,"Linguistics, Letters and Arts",en,0.0011403158674952961
2002,Agricultural Sciences,en,0.021601164483260556
2002,Applied Social Sciences,en,0.0024890829694323145
2002,Biological Sciences,en,0.06972343522561864
2002,Engineering,en,0.015443959243085881
2002,Exact and Earth Sciences,en,0.06002911208151383
2002,Health Sciences,en,0.12112081513828238
2002,Human Sciences,en,0.002343522561863173
2002,"Linguistics, Letters and Arts",en,3.4934497816593884e-4
2003,Agricultural Sciences,en,0.02453622766122766
2003,Applied Social Sciences,en,0.0029744560994560995
2003,Biological Sciences,en,0.07456779331779331
2003,Engineering,en,0.019267191142191144
2003,Exact and Earth Sciences,en,0.028809731934731936
2003,Health Sciences,en,0.12138209013209013
2003,Human Sciences,en,0.0018817987567987568
2003,"Linguistics, Letters and Arts",en,8.741258741258741e-4
2004,Agricultural Sciences,en,0.02350188679245283
2004,Applied Social Sciences,en,0.002309433962264151
2004,Biological Sciences,en,0.0638188679245283
2004,Engineering,en,0.020256603773584906
2004,Exact and Earth Sciences,en,0.04110188679245283
2004,Health Sciences,en,0.10540377358490566
2004,Human Sciences,en,0.0019018867924528301
2004,"Linguistics, Letters and Arts",en,3.018867924528302e-4
2005,Agricultural Sciences,en,0.023830390137738633
2005,Applied Social Sciences,en,0.004758044491185019
2005,Biological Sciences,en,0.05675693440252399
2005,Engineering,en,0.011728963089552022
2005,Exact and Earth Sciences,en,0.032608854417714675
2005,Health Sciences,en,0.07523041642931218
2005,Human Sciences,en,0.0018404101485473905
2005,"Linguistics, Letters and Arts",en,2.48309305756394e-4
2006,Agricultural Sciences,en,0.016989897730107256
2006,Applied Social Sciences,en,0.003199675729608381
2006,Biological Sciences,en,0.060041157395859315
2006,Engineering,en,0.011358817660264404
2006,Exact and Earth Sciences,en,0.030843103018209028
2006,Health Sciences,en,0.10064542279870291
2006,Human Sciences,en,0.002548016961835869
2006,"Linguistics, Letters and Arts",en,5.013719131953105e-4
2007,Agricultural Sciences,en,0.016262736967110166
2007,Applied Social Sciences,en,0.003914469657317629
2007,Biological Sciences,en,0.046136473391534684
2007,Engineering,en,0.010011730878042245
2007,Exact and Earth Sciences,en,0.02979855084617513
2007,Health Sciences,en,0.08292149950888396
2007,Human Sciences,en,0.003822897478680551
2007,"Linguistics, Letters and Arts",en,3.7592789124695283e-4
2007,NA,en,1.4458765047959724e-5
2008,Agricultural Sciences,en,0.01785703209799969
2008,Applied Social Sciences,en,0.007050927054028311
2008,Biological Sciences,en,0.039362470371929206
2008,Engineering,en,0.011027623330305918
2008,Exact and Earth Sciences,en,0.026312385087388965
2008,Health Sciences,en,0.08691402875307357
2008,Human Sciences,en,0.0052180847528963525
2008,"Linguistics, Letters and Arts",en,1.727842633409388e-4
2008,NA,en,7.974658308043329e-5
2009,Agricultural Sciences,en,0.019757682286812298
2009,Applied Social Sciences,en,0.0070810457652156
2009,Biological Sciences,en,0.06136020129580815
2009,Engineering,en,0.010881928176218175
2009,Exact and Earth Sciences,en,0.030757261188889617
2009,Health Sciences,en,0.08071328732018539
2009,Human Sciences,en,0.00832600435521596
2009,"Linguistics, Letters and Arts",en,4.247649582966375e-4
2009,NA,en,1.8335178055969965e-5
2010,Agricultural Sciences,en,0.023100555843732346
2010,Applied Social Sciences,en,0.0071597106673384064
2010,Biological Sciences,en,0.049598963200331386
2010,Engineering,en,0.011289892434883103
2010,Exact and Earth Sciences,en,0.03464876006571827
2010,Health Sciences,en,0.07380884374767757
2010,Human Sciences,en,0.010313368309458696
2010,"Linguistics, Letters and Arts",en,7.234908471076579e-4
2011,Agricultural Sciences,en,0.028795678442462985
2011,Applied Social Sciences,en,0.008062018674550957
2011,Biological Sciences,en,0.051488822147690225
2011,Engineering,en,0.01354372392516156
2011,Exact and Earth Sciences,en,0.026880602073132254
2011,Health Sciences,en,0.0897769104018885
