scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S1668-80902007000100003,1668-8090,1668-8090,Andes,research-article,NA,NA,2007,2009,Human Sciences
S1669-57042005000100003,1669-5704,1669-5704,La aljaba,research-article,NA,NA,2005,2009,Human Sciences
S0011-67932007000200010,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2007,2007,2007,2009,Biological Sciences
S0327-07932008000200007,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2007,2007,2008,2009,Exact and Earth Sciences
S0325-75412008000200013,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,undefined,2007,2008,2008,2009,Biological Sciences
S0373-56802008000200024,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,rapid-communication,NA,NA,2008,2009,Biological Sciences
S1850-373X2002000100008,1850-373X,1850-373X,Intersecciones en antropología,research-article,NA,NA,2002,2009,Human Sciences
S1850-15322007000300019,1850-1532,1850-1532,Revista argentina de neurocirugía,research-article,NA,NA,2007,2009,Health Sciences
S1851-56572007000100008,1851-5657,1851-5657,Phyton (Buenos Aires),research-article,2007,2007,2007,2009,Biological Sciences
S1851-28792006000100008,1851-2879,1851-2879,Quinto sol,editorial,NA,NA,2006,2009,Human Sciences
S1851-17322009000400006,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2009,2009,2009,2009,Applied Social Sciences
S1851-17322006000400002,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2005,2005,2006,2009,Applied Social Sciences
S1851-56572008000100021,1851-5657,1851-5657,Phyton (Buenos Aires),research-article,2008,2008,2008,2009,Biological Sciences
S0325-29572006000300005,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,undefined,NA,NA,2006,2009,Biological Sciences;Health Sciences
S1850-37482007000300001,1850-3748,1850-3748,Revista argentina de cardiología,editorial,NA,NA,2007,2010,Health Sciences
S1850-37482008000100004,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2008,2008,2008,2010,Health Sciences
S0025-76802009000200001,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),editorial,NA,NA,2009,2010,Health Sciences
S1851-28792008000100003,1851-2879,1851-2879,Quinto sol,research-article,2007,2008,2008,2010,Human Sciences
S1852-44782008000200011,1852-4478,1852-4478,Olivar,research-article,NA,NA,2008,2010,"Linguistics, Letters and Arts"
S0325-00752009000600015,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,rapid-communication,2009,2009,2009,2010,Health Sciences
S1853-63792012000100010,1853-6379,1853-6379,Argos,book-review,NA,NA,2012,2012,Human Sciences
S0025-76802009000300012,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),editorial,NA,NA,2009,2010,Health Sciences
S0025-76802008000400015,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),letter,NA,NA,2008,2010,Health Sciences
S1667-782X2010000100001,1667-782X,1667-782X,Ecología austral,brief-report,NA,NA,2010,2010,Biological Sciences
S1853-001X2008000100003,1853-001X,1853-001X,Mora (Buenos Aires),research-article,2006,2007,2008,2010,Applied Social Sciences;Human Sciences
S1850-15322010000400013,1850-1532,1850-1532,Revista argentina de neurocirugía,research-article,NA,NA,2010,2010,Health Sciences
S0011-67932004000100002,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2002,2004,2004,2010,Biological Sciences
S1851-17242007000100015,1851-1724,1851-1724,Circe de clásicos y modernos,research-article,2007,2007,2007,2010,"Human Sciences;Linguistics, Letters and Arts"
S0327-07932009000400011,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2008,2008,2009,2010,Exact and Earth Sciences
S1851-49792010000100002,1851-4979,1851-4979,Latin American journal of sedimentology and basin analysis,research-article,2009,2009,2010,2011,Exact and Earth Sciences
S1851-30342010000400003,1851-3034,1851-3034,Revista argentina de endocrinología y metabolismo,research-article,NA,NA,2010,2011,Health Sciences
S1851-82652010000300007,1851-8265,1669-2381;1851-8265,Salud colectiva,research-article,2010,2010,2010,2011,Health Sciences
S0025-76802010000400003,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2009,2010,2010,2011,Health Sciences
S0004-48222006000400012,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2006,2006,2006,2011,Exact and Earth Sciences
S0004-48222007000400005,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2006,2007,2007,2011,Exact and Earth Sciences
S0328-12052010000100003,0328-1205,0328-1205;1851-779X,Synthesis (La Plata),research-article,NA,NA,2010,2011,"Human Sciences;Linguistics, Letters and Arts"
S1850-468X2009000200002,1850-468X,1850-468X,Meteorologica,research-article,2010,2010,2009,2011,Exact and Earth Sciences
S1852-99922011000200013,1852-9992,1852-9992,Revista argentina de radiología,brief-report,NA,NA,2011,2011,Health Sciences
